full_label	tag	aux_document	local_label
algebra-lemma-characterize-dvr	00PD	algebra	lemma-characterize-dvr
bootstrap-lemma-quotient-free-action	06PH	bootstrap	lemma-quotient-free-action
categories-definition-exact	0034	categories	definition-exact
categories-lemma-yoneda	001P	categories	lemma-yoneda
categories-section-directed-colimits	04AX	categories	section-directed-colimits
decent-spaces-lemma-decent-generic-points	0ABV	decent-spaces	lemma-decent-generic-points
decent-spaces-lemma-decent-point-like-spaces	03IK	decent-spaces	lemma-decent-point-like-spaces
decent-spaces-lemma-decent-points-monomorphism	03K4	decent-spaces	lemma-decent-points-monomorphism
decent-spaces-lemma-locally-separated-decent	088J	decent-spaces	lemma-locally-separated-decent
decent-spaces-lemma-when-field	047Z	decent-spaces	lemma-when-field
decent-spaces-section-points	03IG	decent-spaces	section-points
decent-spaces-theorem-decent-open-dense-scheme	086U	decent-spaces	theorem-decent-open-dense-scheme
descent-definition-descent-datum	023V	descent	definition-descent-datum
descent-definition-local-at-point	04N1	descent	definition-local-at-point
descent-definition-property-local	0348	descent	definition-property-local
descent-definition-structure-sheaf	03DU	descent	definition-structure-sheaf
descent-lemma-CM-local-syntomic	036B	descent	lemma-CM-local-syntomic
descent-lemma-descending-property-closed-immersion	02L6	descent	lemma-descending-property-closed-immersion
descent-lemma-descending-property-etale	02VN	descent	lemma-descending-property-etale
descent-lemma-descending-property-finite	02LA	descent	lemma-descending-property-finite
descent-lemma-descending-property-isomorphism	02L4	descent	lemma-descending-property-isomorphism
descent-lemma-descending-property-quasi-compact	02KQ	descent	lemma-descending-property-quasi-compact
descent-lemma-descending-property-surjective	02KV	descent	lemma-descending-property-surjective
descent-lemma-dimension-at-point-local	04N4	descent	lemma-dimension-at-point-local
descent-lemma-dimension-local-ring-local	04N8	descent	lemma-dimension-local-ring-local
descent-lemma-equivalence-quasi-coherent-properties	05VG	descent	lemma-equivalence-quasi-coherent-properties
descent-lemma-fpqc-universal-effective-epimorphisms	023Q	descent	lemma-fpqc-universal-effective-epimorphisms
descent-lemma-Jacobson-local-fppf	0368	descent	lemma-Jacobson-local-fppf
descent-lemma-locally-projective-descends	05JZ	descent	lemma-locally-projective-descends
descent-lemma-Nagata-local-smooth	036E	descent	lemma-Nagata-local-smooth
descent-lemma-Noetherian-local-fppf	034C	descent	lemma-Noetherian-local-fppf
descent-lemma-normal-local-smooth	034F	descent	lemma-normal-local-smooth
descent-lemma-properties-quasi-coherent	0GNB	descent	lemma-properties-quasi-coherent
