page_one_based,chapter,chapter_page_one_based,chapter_title,path,bytes,sha256,width,height,nonwhite_pixels_below_250,nonwhite_fraction,content_bbox,touches_image_edge
47,60,2,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-047.png,382692,F4AF01E0DFB67964385D59EFC66B5BF5A1F3C21B2BB06820ADAEE8FB8B80B6A9,1020,1320,108654,0.08069964,"138,161,882,1166",false
48,60,3,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-048.png,315755,DA93B02BF771294FE459F6DB9E839DD5831068CBCBFE695F1D22955CD7B27CBB,1020,1320,88642,0.06583630,"138,161,882,1166",false
49,60,4,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-049.png,245230,A0D3F55D8ACBE9FD2EC51F93923C3DA3481AE347B084CF23F4FCD4D0663B0025,1020,1320,69338,0.05149881,"138,161,882,1166",false
50,60,5,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-050.png,242787,9674E091E7BBD08D0B2D23B924D2E9A6CD2C845491B72367D96B6304C07BB4C1,1020,1320,68838,0.05112745,"137,161,882,1166",false
51,60,6,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-051.png,242708,7A10AA21ABEB8100458A0620D011C901A9F78D3943280B4F49E25B55A0C4BA50,1020,1320,69928,0.05193702,"138,161,882,1168",false
52,60,7,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-052.png,202900,67F17A3260D2F67CA68CA8B2FD8A2D1566809BFC7084731B542A0EBB0716776B,1020,1320,55765,0.04141786,"137,161,882,1165",false
53,60,8,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-053.png,260844,F35F8721016022576EAB40A6091973C53C210E9F2C0838CC006D38A20F0D611B,1020,1320,71403,0.05303253,"138,161,882,1169",false
54,60,9,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-054.png,289762,D23756A1CD7702EB9955779D31037B6B137BC108BE34EDF03269A8A40DACBBAA,1020,1320,79789,0.05926099,"138,161,882,1168",false
55,60,10,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-055.png,337336,0F6E27E09BA23912738DB0542FC5BB02CD13CB452A71848352E247FA2392558E,1020,1320,95941,0.07125743,"137,161,882,1169",false
56,60,11,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-056.png,285914,98C55B1726BE443CFD9C47F2752CE9B9B2F9F0E84496CA43A480C19B6CD72E35,1020,1320,82486,0.06126411,"138,161,882,1166",false
