page_one_based,chapter,chapter_page_one_based,chapter_title,path,bytes,sha256,width,height,nonwhite_pixels_below_250,nonwhite_fraction,content_bbox,touches_image_edge
108,61,11,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-108.png,348293,A852861E611DD03DEF8096BE06713D88E5AFFF25AF71969D43D55F05C0153FBF,1020,1320,97710,0.07257130,"138,161,882,1168",false
109,61,12,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-109.png,329871,DD4A45A70B01A30049BC51A6A9692259EF3181265CEB3F5AD6661B28DED378FA,1020,1320,95501,0.07093063,"138,161,882,1166",false
110,61,13,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-110.png,291737,D50F1E578543059FB1100AFAA80B09A346823C2883D38A3FBD3CAC0057A2E2B8,1020,1320,83354,0.06190879,"138,161,882,1167",false
111,61,14,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-111.png,308123,81E9C8A0FFC4955F82868863B62AAF9CB7E55CA3A453ECAC4A4D18799D5BA4D2,1020,1320,88190,0.06550059,"138,161,882,1166",false
112,61,15,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-112.png,380271,6D35728B336A41B84060B82556F009D8054E26B9019217D4E37E15371F10CE5A,1020,1320,109623,0.08141934,"138,161,882,1165",false
113,61,16,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-113.png,371182,C7E35D2867168AFBF8BC8C666FABC5CC3FFE06FB25456CBA5E0C2CB013D2E41F,1020,1320,104579,0.07767305,"138,161,882,1167",false
114,61,17,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-114.png,345891,87FFBC21A5980B11C3D0BFF4A010701D06F05C43E333A200A13992A3ABCEB919,1020,1320,97375,0.07232249,"137,161,882,1167",false
115,61,18,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-115.png,357499,53578B7435E67F223BDB51D84425C50FE61236F8828D71F5CF2D8A69934CFD76,1020,1320,102706,0.07628194,"138,161,882,1166",false
116,61,19,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-116.png,345187,752F626BBB628F584D71B7929E6096FA4AAF12C37B712CCC5C7B57D529432703,1020,1320,96719,0.07183526,"138,161,882,1168",false
117,61,20,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-117.png,354439,6C61ECD0B0E7758467F3BA7445F1876C2C2007644E7ECAD1204D1BDA530AA2D4,1020,1320,102743,0.07630942,"138,161,882,1168",false
118,61,21,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-118.png,344099,3030115E1C45759E06AB54006B866E8EEDF69C2D175B73A5DF3441AAB6DD3526,1020,1320,97163,0.07216503,"138,161,882,1165",false
119,61,22,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-119.png,328407,8379175B80BBDC0894FB93DC20451AE31A0CC7DEC9B46CDF4A171112C0739D3E,1020,1320,90953,0.06755273,"138,161,882,1168",false
120,61,23,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-120.png,393423,83DE20140B62E267C5982926550D4E908F6FFBD9C1C7FD8E0B96D0FCAE43DB99,1020,1320,112318,0.08342097,"138,161,883,1166",false
121,61,24,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-121.png,338151,FA9C635512E8179E06E0687D354BAF00CC7FCF7CE2E7E124C6393E9B6A6D6144,1020,1320,92872,0.06897802,"138,161,882,1166",false
122,61,25,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-122.png,264739,B567D844981DE4691B419317F82AFD8BF749679526A8DB80739E3B1CCCEED3CE,1020,1320,72012,0.05348485,"138,161,882,1170",false
123,61,26,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-123.png,346333,6C16DAC7A1317F024822A22D3A5B7E8AA909DA2CBD2FE6AC00DF6A4BEC21819C,1020,1320,95232,0.07073084,"138,161,882,1167",false
124,61,27,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-124.png,442046,F2DAE4F6EC3C38B5A4FC8862B89FF5BB8A91F11F37C66B6C73992185C3A0F917,1020,1320,125404,0.09314023,"138,161,882,1166",false
125,61,28,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-125.png,441689,5D423C7DC50B8E89C683D431AA1E314A0732E41EC128DAF0C70BB70968B1D5B2,1020,1320,126366,0.09385472,"138,161,882,1168",false
126,61,29,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-126.png,315334,1E6680037D5BF68D5790B142C6A0049C3FF04F5DC9F6D3BA1309E1F3CCED753D,1020,1320,89628,0.06656863,"138,161,882,1166",false
127,61,30,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-127.png,382399,973818DEE26700FE68935A2EBF6ED4CA0678B1A0F0429AEE0385D96E461E7FA4,1020,1320,107718,0.08000446,"138,161,882,1168",false
128,61,31,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-128.png,355009,7A1A4B45E31ABB3C76B1F15EDDA81CAB58B2B992316FC675BB4E69A648011292,1020,1320,101008,0.07502080,"138,161,882,1166",false
129,61,32,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-129.png,289494,AD65651A6213B22269240B09E00451BFD28F8CA00438C45A3F11ACEC2E57FDA4,1020,1320,79398,0.05897059,"138,161,882,1170",false
130,61,33,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-130.png,276867,7BA6C54956296B4955C4723ED8C4B1704C44B09DA87FE23A02D2D860E633B2E1,1020,1320,76934,0.05714052,"138,161,882,1168",false
131,61,34,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-131.png,341085,83980D92D7745B635D75AFE907A94C11E448C1EF3397A113319FB401AB7429B9,1020,1320,97288,0.07225787,"138,161,882,1168",false
132,61,35,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-132.png,293881,4E13F3F8F01E482F3DFB59E636F39D8F27D3DF9553C85A766118B7D8CE2F52C0,1020,1320,82799,0.06149658,"138,161,882,1165",false
133,61,36,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-133.png,373772,F072B461F324617842FEFBF7D431B42B67D5CF03886BD4D62CA53093032232A0,1020,1320,107389,0.07976010,"137,161,882,1166",false
134,61,37,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-134.png,282288,BF5E342C0B5C6C732754397BED1A126BF746D3C24004AE81627245B89CAB0AD9,1020,1320,78361,0.05820039,"138,161,882,1165",false
135,61,38,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-135.png,334298,2FBADB9EECD04EAB46C42BFB1BC43DE324DED8617EA4A843748B2F7A864DBD80,1020,1320,93690,0.06958556,"138,161,882,1166",false
136,61,39,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-136.png,288178,5234EFBCD377AFAC82FE72FD5489DD18548A19C881D1F5BF05BAB452D2748EF6,1020,1320,79921,0.05935903,"138,161,883,1169",false
137,61,40,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-137.png,332687,6528DCB016660FFAF948B735C9DA55A4AEC622D467C96347E12792B54F019161,1020,1320,95605,0.07100787,"138,161,882,1168",false
138,61,41,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-138.png,298516,C511933BED74B318A0D7A68CE432932D975D80FD4FB3F6DE6741C6AD7E88638A,1020,1320,83267,0.06184418,"138,161,882,1168",false
139,61,42,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-139.png,287232,DEE24B3B7982F9125AF2AA2F9D606C1EDD8BB9B6B36F1E123D89C64A0258E907,1020,1320,78860,0.05857100,"138,161,882,1166",false
140,61,43,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-140.png,341584,48B7004009561F826F092295179A4A41D7D665FC1CD0AD0C759667616CA87101,1020,1320,94609,0.07026812,"138,161,882,1168",false
141,61,44,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-141.png,372366,4EF64C777AAF7B1239D1F3BFC7C18387270C57CBBD2EC4D9DFB2F9E74412CBC0,1020,1320,106395,0.07902184,"138,161,882,1166",false
142,61,45,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-142.png,373805,896EA2B60CD6D95FC2DB7750268361F29056636CD5EA86D4F1512CF158777730,1020,1320,104989,0.07797757,"138,161,882,1166",false
143,61,46,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-143.png,347740,7865F934A150910B1FF4A02F8DD7A31055445A35E65720C97A13275785A4730E,1020,1320,97176,0.07217469,"138,161,882,1168",false
144,61,47,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-144.png,325081,57F1706250DE2D7C4DF246F8DCA669EB01492245D14C7BA4E64519051316CC0E,1020,1320,93760,0.06963755,"137,161,882,1167",false
145,61,48,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-145.png,302329,C2971730C966C1DBBB5A073EDC79F3F3AE51BED81AE1AC4A3BF122C27F2E2AAD,1020,1320,87199,0.06476456,"138,161,882,1166",false
146,61,49,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-146.png,297116,0D9F320008D82C6E6F434DC0548EDB24F245DC6B4ABB5BC4566959F7E9B2AB1E,1020,1320,84359,0.06265523,"138,161,882,1165",false
147,61,50,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-147.png,337177,C9DD33FF5D2028AB7D6EF765E8F6B417FA3717B5C19A021C1A534626217F8AC0,1020,1320,95906,0.07123143,"138,161,882,1166",false
148,61,51,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-148.png,335985,10645D16A0054687248E3D2FA3974D3B97099C2559F19E5AFFBD213DD9B07BE2,1020,1320,94928,0.07050505,"138,161,882,1168",false
149,61,52,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-149.png,368213,A9DA8ABE344F5CE08CCC748F8DBD8A4023BBC813EFDE8D025D2E1CF90EA0283F,1020,1320,103712,0.07702911,"138,161,883,1167",false
150,61,53,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-150.png,320400,1DEE0CE116D24D1FA34DB26FFEE3974014800AAC737B32907BAC685CEB92A9F2,1020,1320,88338,0.06561052,"138,161,882,1165",false
151,61,54,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-151.png,318643,1215D9F346C36C15FE04DE1CE6C457DD321651A2D9D253E40926DAA95D86661E,1020,1320,91580,0.06801842,"138,161,882,1169",false
152,61,55,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-152.png,283094,727BB132FC5AF0DFB5072D2BAD5B6F9E31E72C28AF80DAEA6FCDF34900905B3F,1020,1320,80399,0.05971405,"138,161,882,1167",false
153,61,56,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-153.png,345775,11433A4FBC2A9A0902B980C848EFF0FDDEA8559A86D0633380ECE0F5A77B94A9,1020,1320,98680,0.07329174,"138,161,882,1170",false
154,61,57,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-154.png,241668,38E1A36C87AC758D74B9A9B631F7F873AF460485C11B5FF7B8930E6F7918C8E2,1020,1320,70449,0.05232398,"138,161,887,891",false
155,62,1,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-155.png,203003,B112F93CA00B2D3D8A4C11DE853F56F001156AC0ED64C87C9CA0E45DD049B8B3,1020,1320,54125,0.04019979,"138,250,882,1183",false
156,62,2,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-156.png,385414,17B1B7807C055BB45817E8ADB10504A71B90EB114EF92B54436C907F2414D80C,1020,1320,110407,0.08200163,"138,161,882,1167",false
157,62,3,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-157.png,301336,D07A815FABAD0B0F85C043D580E7019D0A7073690408DE7E113DD36F7F4B866E,1020,1320,84615,0.06284537,"138,161,882,1168",false
158,62,4,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-158.png,255138,1B4EA6E9B23E3ABFEEF3079E0F9CD8CD35DFCE5D7DD843F7D0473E7C01E331DA,1020,1320,70933,0.05268345,"138,161,882,1166",false
159,62,5,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-159.png,277596,F767EBBFB0BABCBAD15B0126D391B40C696B841A5AF3A5FB17CB37F800097A28,1020,1320,77697,0.05770722,"138,161,882,1166",false
160,62,6,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-160.png,346980,ACA29B399C3754493A63F030A38D837CA7DD132701B28540B2A7ACDB543CA913,1020,1320,96622,0.07176322,"138,161,882,1166",false
161,62,7,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-161.png,288236,A462CEF2BD3A2F2681B13BC8D0C844601059BD6B537913FAAE5EFDC2831F6E5C,1020,1320,81336,0.06040998,"138,161,882,1165",false
162,62,8,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-162.png,398354,66F81271A3E1BBA6B809446FC7D8B80B7CFBA9AC859AAC26A21AC823F4E41F22,1020,1320,112544,0.08358883,"138,161,882,1168",false
163,62,9,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-163.png,399083,908A77288966697237AED6F66276F2913608E6B645833EEED061E9488960F6B6,1020,1320,114210,0.08482620,"138,161,883,1168",false
164,62,10,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-164.png,419505,286EE2DAF111AC10F0F65C0DA1655F31C0D93889A20A505BB872EDF18153E6E8,1020,1320,120054,0.08916667,"138,161,882,1166",false
165,62,11,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-165.png,339584,CBEA964705A8616AE7587693EE8EB5FB12497C2C27430DD137455AFA8CB247D7,1020,1320,96436,0.07162507,"138,161,882,1166",false
166,62,12,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-166.png,382802,5C4B476AA43FECDEDF90D75C82CE0AC84F84E422CEE70CED39014CD673B88C4E,1020,1320,110385,0.08198529,"138,161,882,1166",false
167,62,13,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-167.png,388679,580629B78ADE280623E0794F1EAEC6CA31837476552A4F730939D993996AFE34,1020,1320,109486,0.08131759,"138,161,882,1166",false
168,62,14,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-168.png,266714,700F70BEAA388AA570F69D116385335E3C346F4791BB276E2094B561235FB5C5,1020,1320,75162,0.05582442,"138,161,882,1166",false
169,62,15,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-169.png,362585,D01651629F5E202D13F85CEDA5474EEA477D467B34944E14F52A98B80E5E08EA,1020,1320,102676,0.07625966,"138,161,882,1165",false
170,62,16,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-170.png,390139,A7EBB28A52EE1AE57CC40ABD08925146B467E391883BEB0A3C0FA11FF70AA103,1020,1320,110066,0.08174837,"138,161,882,1168",false
171,62,17,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-171.png,400946,56E54DBC9DB423FBA8760CFB73A747BC7723BB0EEAA076D63649ABDB32120DBB,1020,1320,112728,0.08372549,"138,161,882,1168",false
172,62,18,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-172.png,346794,6802F9530453113D302435DA12901CD5D6A3CDEE062EA7FF20B33D7DBEEEE1FB,1020,1320,98235,0.07296123,"138,161,882,1168",false
173,62,19,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-173.png,310015,00FA8A631ACA61F1910723D17849184A296CFD82160941E122334CDA59629BD5,1020,1320,88122,0.06545009,"138,161,882,1168",false
174,62,20,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-174.png,340430,3146B88646B5510EBA35973C98E69561D8B6131013790508482CCE3AD6ED8136,1020,1320,95220,0.07072193,"138,161,882,1168",false
175,62,21,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-175.png,313695,377B32BB6EA3FC2124A76E78DA71D891C696403E43C90B2FF0ACA0369F4D62D1,1020,1320,90067,0.06689468,"138,161,882,1166",false
176,62,22,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-176.png,228250,683C5A99B688D463F780B45BDC1AC1C7A281F47B6314D5EA8D6A6C94810A2882,1020,1320,62259,0.04624109,"138,161,882,1168",false
177,62,23,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-177.png,323222,90591E2C0501106771E02D38FAAAA9C7547E6F507DAD0CFF24BB27427C25A75A,1020,1320,90391,0.06713532,"138,161,882,1168",false
178,62,24,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-178.png,294378,990A0B384801C35689C8328180B7BC007D8812C5B19AB61FE91274E23B90AB62,1020,1320,82074,0.06095811,"138,161,882,1167",false
179,62,25,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-179.png,285425,C9CD408E04462B73A1DEF317609DAC51B3B9D19B759A808AFED63A40BD9DF311,1020,1320,78625,0.05839646,"138,161,882,1168",false
180,62,26,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-180.png,345857,06E5F9D43EDFF94964DB84261840A3085CED5CAA5B7E87739D70E43EB37589DF,1020,1320,97391,0.07233437,"138,161,882,1168",false
181,62,27,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-181.png,315081,C15DD251BE79C2BD3A03D942FFB80B2E68FB9D65C7ACE84FD20520D5A9B0FBD2,1020,1320,86602,0.06432115,"138,161,882,1168",false
182,62,28,상대 사이클,evidence/visual-qa-r3/pages-120dpi/page-182.png,254310,64B4AE4A65DFD2F8398DAAB0A1FB18AECC203DEDA4B4361651236209FEA05206,1020,1320,76611,0.05690062,"138,161,883,789",false
183,63,1,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-183.png,203108,9474B932EC69A3911F4F42404999D1AF10516B5431687D12B395126B3589B80D,1020,1320,54744,0.04065954,"138,250,882,1183",false
184,63,2,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-184.png,284735,9A0A164444664267A49AF075AC4E1EC5752CB929BABB4F68CB7A0AEDBF87B1A0,1020,1320,78836,0.05855318,"138,161,882,1165",false
185,63,3,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-185.png,375506,637CE66EC1A6AE2CECB4F6245FA0D24CC91F9216B83DADF38F70CEFBBF48483A,1020,1320,109074,0.08101159,"138,161,882,1165",false
186,63,4,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-186.png,310422,D26A1B88BE781FB68A3381487CB076A6CB9AF542A6F4F7D2CF0D9B732EFE1806,1020,1320,86818,0.06448158,"138,161,882,1166",false
187,63,5,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-187.png,361251,41DAEC25E07B2A045ACE34BE33A7E5A04832C75E6D06F222C2C783B45F46FA31,1020,1320,101320,0.07525253,"138,161,882,1167",false
188,63,6,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-188.png,249342,A59CCB3EE88BEBFD7DC9E57332C4053ECC1514F5C2E7DF74F414E0D7B33B8DE1,1020,1320,70584,0.05242424,"138,161,882,1168",false
189,63,7,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-189.png,263451,A6BD7F987AAEB418CC408EAEB3DBDA43B7AEF58BAB5E541F97F1F945BA32F1FB,1020,1320,74984,0.05569222,"138,161,882,1166",false
190,63,8,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-190.png,296904,C56A235C250D7D4D285634996264196A342BCCC3168836A5A2B4A478D0F970BD,1020,1320,82674,0.06140374,"138,161,882,1166",false
191,63,9,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-191.png,359678,3E9F3F883EC98FCBEFCE77B0BE9F1CFFAEFFC9E5DCCDDF036907033B8AE70CA3,1020,1320,99754,0.07408942,"138,161,882,1170",false
192,63,10,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-192.png,363762,74EC9B0789374CB0A76E66A6C2A9E4D6F832120B3F5D2B581F6A4412E77696C2,1020,1320,104839,0.07786616,"138,161,895,1166",false
193,63,11,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-193.png,287385,309359E6CBD8A67A46D6B9B14F3E2FC41097925EEDDAC6E783964417B52F958C,1020,1320,78820,0.05854130,"138,161,882,1168",false
194,63,12,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-194.png,332067,0286D974BCCB545B6F54DD9741F4B61D9F75D824A7A582ED5123475F315CF2B1,1020,1320,93939,0.06977050,"138,161,882,1166",false
195,63,13,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-195.png,300506,EAE7E50CEDD25D5A3B172A4B5A809A792B3733E56D6F2F6AE607C30F1E08FF95,1020,1320,84110,0.06247029,"138,161,883,1168",false
196,63,14,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-196.png,285133,A7A2E18E056A3C10CC4487F9E11AD875974B10E160F20B3297E4D21D562023CC,1020,1320,79129,0.05877080,"138,161,882,1167",false
197,63,15,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-197.png,316879,153B55B17349A955ACF8F6CC66321249148DDAE1644FE26B1E63F3558E3BDC48,1020,1320,89738,0.06665033,"138,161,882,1169",false
198,63,16,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-198.png,192834,26C24C594C6DDB2DCE2085822C8C9CF50B5B5170783F64040E540685C89C2883,1020,1320,52482,0.03897950,"138,161,882,1167",false
199,63,17,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-199.png,361349,10256A72B7237D5CDE4CE98CF14E7536043A342C5540A448F0C86BD41FDC12B4,1020,1320,104389,0.07753194,"138,161,882,1167",false
200,63,18,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-200.png,304335,FA372366219423188A866F66A84157868C4830447BAADF96038E3092B9B0927A,1020,1320,84451,0.06272356,"138,161,882,1168",false
201,63,19,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-201.png,312027,A7DA0B238FA77CA4752FC69DD89D16B7DD93D2973097025DABDD1F8B9C732746,1020,1320,88104,0.06543672,"138,161,882,1164",false
202,63,20,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-202.png,321933,172019F0A31697E466753A65C70797906ED305EF10CB6D679CC5D70E34E0D574,1020,1320,91851,0.06821970,"137,161,882,1166",false
203,63,21,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-203.png,303816,68EDBDD32CAE24C8CB09BE8F9B6C0C93EFEACB710F256A3F9DC77449961664AD,1020,1320,86877,0.06452540,"138,161,882,1167",false
204,63,22,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-204.png,223041,004ACD9E22C4B2768EF38B848B6A2BBACFB94D965CCF50F522830FA98E161869,1020,1320,61045,0.04533942,"138,161,882,1168",false
205,63,23,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-205.png,280791,97DFB9F452AC7DB349C9288A2718634A26E84ED194B551743EAF20B554131047,1020,1320,78590,0.05837047,"138,161,883,1166",false
206,63,24,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-206.png,342344,7AAB189E4EE1E3EC00733C27C99A35C5D94EDA2333280DCFFEC14FB23EFBFBED,1020,1320,96846,0.07192959,"138,161,882,1164",false
207,63,25,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-207.png,271372,B07D7A31D997D2FB3F5F7B9227259549CC36A1C60A86F5BA9B3F7AA4AFB63FE6,1020,1320,76925,0.05713384,"138,161,882,1167",false
208,63,26,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-208.png,198426,C170714C740C4DD1F318626AE64FD1A2B7CD6D8EFA903ADA243B0A14144BE7F7,1020,1320,53195,0.03950906,"138,161,882,1167",false
209,63,27,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-209.png,204157,87A400FB1ADD65432EC67D4CDFA367CA734E3BF69EA88BA9D1E5ABEF72AA769A,1020,1320,56659,0.04208185,"138,161,882,1170",false
210,63,28,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-210.png,253534,B6B67CBFE7D2838D4E24203EBAA4E9A578BF508A677CB75BE408BC92B5095E93,1020,1320,71223,0.05289884,"138,161,882,1167",false
211,63,29,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-211.png,362148,EA9EA9C62CFEB154C794A48FBFF8781AC44E9B821C35F7D475479ED438A128F1,1020,1320,103879,0.07715315,"138,161,882,1165",false
212,63,30,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-212.png,210240,11389E32FE670C9ED3378B5F2092F82144D5DE8CDC55D18BD0DE2E2F4F2A866C,1020,1320,61000,0.04530600,"138,161,882,1166",false
213,63,31,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-213.png,112893,161B5F21F0DB9ED7FBF2D9FB2CA7F365FD966FE16FA64D0AA3CBBCCEC5D94531,1020,1320,28204,0.02094771,"138,161,882,1168",false
214,63,32,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-214.png,155566,18CC046816D76C5F76741185744CD9001B9150AAD68DFC98099497019C5A18A7,1020,1320,43613,0.03239231,"138,161,882,1164",false
215,63,33,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-215.png,328996,F3B6B97414C9C889DD1220123077A1D4C24A4489924696584AEA07DAF48F49E7,1020,1320,94489,0.07017900,"138,161,882,1168",false
216,63,34,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-216.png,400125,D14DBFB9EB88F41607D27859E9DFEC7C8B79A108C4C315E7DD7495A4B690C4E8,1020,1320,114808,0.08527035,"137,161,882,1168",false
217,63,35,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-217.png,256718,BEEC78EE3B312429D03279C5EE4D28B809AB67F7CFF846080B15ACDFCE5AF17F,1020,1320,73953,0.05492647,"138,161,882,1166",false
218,63,36,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-218.png,324030,83E51093D6822914500F06BB1415B95485AFB8A86DDC2D5E23A60B9C1394B4E1,1020,1320,92411,0.06863562,"138,161,882,1166",false
219,63,37,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-219.png,247053,5446E2BAC98410C6B81B48F1135ED1AE67B2E952AE4FF3CDE7955A29692CFE0C,1020,1320,71374,0.05301099,"138,161,882,1164",false
220,63,38,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-220.png,306956,02F5C101642654FF8284BD43F81D5F4F8CFD6595C16F589C1FA3B8884F7F0A54,1020,1320,87250,0.06480244,"138,161,884,1168",false
221,63,39,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-221.png,270314,F2B8E330C7FFCDDF4F58F9A038A587E8FFC44EB7D44A500094644FE2FEEB579D,1020,1320,74404,0.05526144,"138,161,882,1168",false
222,63,40,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-222.png,362876,2169C5B89B2FCA798755B0E3A0BB122AD8202FAF2DDD0614FD58A764E43587C7,1020,1320,105355,0.07824941,"138,161,882,1166",false
223,63,41,에탈 코호몰로지 심화,evidence/visual-qa-r3/pages-120dpi/page-223.png,363480,8BA407789D4C1B80B24E98B86680B81364744A134953CDED6B2EBEE21759C078,1020,1320,104770,0.07781491,"138,161,882,1167",false
