full_label	tag	aux_document	local_label	value_source
algebra-definition-etale	00U1	algebra	definition-etale	permanent_tag
algebra-definition-formally-smooth	00TI	algebra	definition-formally-smooth	permanent_tag
algebra-definition-naive-cotangent-complex	07BN	algebra	definition-naive-cotangent-complex	permanent_tag
algebra-lemma-artinian-finite-length	00JB	algebra	lemma-artinian-finite-length	permanent_tag
algebra-lemma-characterize-length-1	00J2	algebra	lemma-characterize-length-1	permanent_tag
algebra-lemma-complete-henselian	04GM	algebra	lemma-complete-henselian	permanent_tag
algebra-lemma-completion-Noetherian	05GH	algebra	lemma-completion-Noetherian	permanent_tag
algebra-lemma-completion-Noetherian-Noetherian	0316	algebra	lemma-completion-Noetherian-Noetherian	permanent_tag
algebra-lemma-differential-mod-power-ideal	02HQ	algebra	lemma-differential-mod-power-ideal	permanent_tag
algebra-lemma-differential-seq	00RU	algebra	lemma-differential-seq	permanent_tag
algebra-lemma-dimension-is-length	00IY	algebra	lemma-dimension-is-length	permanent_tag
algebra-lemma-etale-over-field	00U3	algebra	lemma-etale-over-field	permanent_tag
algebra-lemma-exact-sequence-NL	00S2	algebra	lemma-exact-sequence-NL	permanent_tag
algebra-lemma-henselian-cat-finite-etale	04GK	algebra	lemma-henselian-cat-finite-etale	permanent_tag
algebra-lemma-integral-under-field	00GR	algebra	lemma-integral-under-field	permanent_tag
algebra-lemma-intersect-powers-ideal-module-zero	00IP	algebra	lemma-intersect-powers-ideal-module-zero	permanent_tag
algebra-lemma-length-additive	00IV	algebra	lemma-length-additive	permanent_tag
algebra-lemma-local-dimension-zero-henselian	06RS	algebra	lemma-local-dimension-zero-henselian	permanent_tag
algebra-lemma-ML-exact-sequence	0598	algebra	lemma-ML-exact-sequence	permanent_tag
algebra-lemma-NAK	00DV	algebra	lemma-NAK	permanent_tag
algebra-lemma-surjective-endo-noetherian-ring-is-iso	06RN	algebra	lemma-surjective-endo-noetherian-ring-is-iso	permanent_tag
algebra-lemma-uniqueness	06RR	algebra	lemma-uniqueness	permanent_tag
algebra-proposition-dimension-zero-ring	00KJ	algebra	proposition-dimension-zero-ring	permanent_tag
algebra-proposition-smooth-formally-smooth	00TN	algebra	proposition-smooth-formally-smooth	permanent_tag
algebraic-section-smooth-groupoid-gives-algebraic-stack	04TJ	algebraic	section-smooth-groupoid-gives-algebraic-stack	permanent_tag
algebraic-section-stack-to-presentation	04T3	algebraic	section-stack-to-presentation	permanent_tag
categories-definition-cartesian-over-C	02XK	categories	definition-cartesian-over-C	permanent_tag
categories-lemma-2-product-categories-over-C	0040	categories	lemma-2-product-categories-over-C	permanent_tag
categories-lemma-equivalence-fibred-categories	003Z	categories	lemma-equivalence-fibred-categories	permanent_tag
categories-lemma-fibred-groupoids	003V	categories	lemma-fibred-groupoids	permanent_tag
categories-lemma-yoneda-2category	004B	categories	lemma-yoneda-2category	permanent_tag
categories-remark-other-description-2-fibre-product	06RL	categories	remark-other-description-2-fibre-product	permanent_tag
categories-section-fibred-groupoids	003S	categories	section-fibred-groupoids	permanent_tag
categories-section-fibred-in-setoids	04S9	categories	section-fibred-in-setoids	permanent_tag
categories-section-fibred-in-sets	0042	categories	section-fibred-in-sets	permanent_tag
categories-section-inertia	04Z2	categories	section-inertia	permanent_tag
categories-section-presheaves-groupoids	0048	categories	section-presheaves-groupoids	permanent_tag
criteria-section-formally-smooth	06CZ	criteria	section-formally-smooth	permanent_tag
examples-defos-section-introduction	0DVL	examples-defos	section-introduction	permanent_tag
exercises-exercise-tangent-space-Zariski	029E	exercises	exercise-tangent-space-Zariski	permanent_tag
fields-lemma-primitive-element	030N	fields	lemma-primitive-element	permanent_tag
homology-lemma-additive-additive	0105	homology	lemma-additive-additive	permanent_tag
more-algebra-definition-formally-smooth	07EB	more-algebra	definition-formally-smooth	permanent_tag
more-algebra-definition-formally-smooth-adic	07NI	more-algebra	definition-formally-smooth-adic	permanent_tag
more-algebra-lemma-formally-smooth	07EC	more-algebra	lemma-formally-smooth	permanent_tag
more-algebra-lemma-formally-smooth-completion	07ED	more-algebra	lemma-formally-smooth-completion	permanent_tag
more-algebra-lemma-formally-smooth-JZ	0DYH	more-algebra	lemma-formally-smooth-JZ	permanent_tag
more-algebra-lemma-fs-local	0DYG	more-algebra	lemma-fs-local	permanent_tag
more-algebra-lemma-lift-continuous	07NJ	more-algebra	lemma-lift-continuous	permanent_tag
more-algebra-proposition-fs-flat-fibre-fs	07NQ	more-algebra	proposition-fs-flat-fibre-fs	permanent_tag
more-morphisms-lemma-slice-smooth-given-element	057C	more-morphisms	lemma-slice-smooth-given-element	permanent_tag
morphisms-lemma-point-finite-type	01TA	morphisms	lemma-point-finite-type	permanent_tag
stacks-section-the-inertia-stack	036X	stacks	section-the-inertia-stack	permanent_tag
