full_label	tag	aux_document	local_label
algebra-definition-henselization	04GQ	algebra	definition-henselization
algebra-lemma-artinian-finite-length	00JB	algebra	lemma-artinian-finite-length
algebra-lemma-characterize-henselian	04GG	algebra	lemma-characterize-henselian
algebra-lemma-dimension-closed-point-finite-type-field	00OU	algebra	lemma-dimension-closed-point-finite-type-field
algebra-lemma-dimension-inequality-quasi-finite	00QF	algebra	lemma-dimension-inequality-quasi-finite
algebra-lemma-dominate	00IA	algebra	lemma-dominate
algebra-lemma-finite-dimensional-algebra	00J6	algebra	lemma-finite-dimensional-algebra
algebra-lemma-henselization	04GN	algebra	lemma-henselization
algebra-lemma-local-dimension-zero-henselian	06RS	algebra	lemma-local-dimension-zero-henselian
algebra-lemma-Noetherian-local-domain-dim-2-infinite-opens	02IG	algebra	lemma-Noetherian-local-domain-dim-2-infinite-opens
algebra-lemma-product-local	00JA	algebra	lemma-product-local
algebra-lemma-uniqueness-henselian	08HT	algebra	lemma-uniqueness-henselian
algebra-section-henselization	0BSK	algebra	section-henselization
algebra-section-ind-etale	0BSG	algebra	section-ind-etale
categories-definition-codirected	04AZ	categories	definition-codirected
categories-lemma-cofinal	04E7	categories	lemma-cofinal
categories-lemma-representable-over-representable	03KC	categories	lemma-representable-over-representable
descent-lemma-descend-reduced	06QM	descent	lemma-descend-reduced
descent-lemma-descend-regular	06QN	descent	lemma-descend-regular
descent-lemma-descending-property-finite-locally-free	02VO	descent	lemma-descending-property-finite-locally-free
descent-lemma-Noetherian-local-fppf	034C	descent	lemma-Noetherian-local-fppf
etale-proposition-properties-sections	024T	etale	proposition-properties-sections
etale-section-etale-morphisms	0257	etale	section-etale-morphisms
examples-lemma-specializations-fibre-etale	06UK	examples	lemma-specializations-fibre-etale
groupoids-definition-invariant-open	03BC	groupoids	definition-invariant-open
groupoids-lemma-find-invariant-affine	03JE	groupoids	lemma-find-invariant-affine
groupoids-lemma-quotient-groupoid-restrict	02VH	groupoids	lemma-quotient-groupoid-restrict
groupoids-proposition-finite-flat-equivalence	03BM	groupoids	proposition-finite-flat-equivalence
limits-lemma-limit-nonempty	01Z2	limits	lemma-limit-nonempty
more-algebra-lemma-unibranch	0BQ0	more-algebra	lemma-unibranch
more-groupoids-lemma-locally-closed-image-is-closed	04Q9	more-groupoids	lemma-locally-closed-image-is-closed
more-morphisms-lemma-describe-henselization	05KS	more-morphisms	lemma-describe-henselization
more-morphisms-lemma-nr-branches	0CB4	more-morphisms	lemma-nr-branches
more-morphisms-lemma-separated-locally-quasi-finite-over-affine	07S0	more-morphisms	lemma-separated-locally-quasi-finite-over-affine
more-morphisms-lemma-stratify-flat-fp-lqf	086R	more-morphisms	lemma-stratify-flat-fp-lqf
more-morphisms-lemma-stratify-flat-fp-lqf-universally-bounded	07RY	more-morphisms	lemma-stratify-flat-fp-lqf-universally-bounded
morphisms-definition-birational	01RO	morphisms	definition-birational
