full_label	tag	aux_document	local_label	value_source
algebra-lemma-find-sequence-image-regular	06LC	algebra	lemma-find-sequence-image-regular	permanent_tag
algebra-lemma-flat-increases-depth	00LM	algebra	lemma-flat-increases-depth	permanent_tag
algebra-lemma-geometrically-integral-any-integral-base-change	09P9	algebra	lemma-geometrically-integral-any-integral-base-change	permanent_tag
algebra-lemma-regular-ring-CM	00NQ	algebra	lemma-regular-ring-CM	permanent_tag
algebraic-definition-change-of-base	04X7	algebraic	definition-change-of-base	permanent_tag
algebraic-definition-deligne-mumford	03YO	algebraic	definition-deligne-mumford	permanent_tag
algebraic-definition-presentation	04TI	algebraic	definition-presentation	permanent_tag
algebraic-definition-relative-representable-property	03YK	algebraic	definition-relative-representable-property	permanent_tag
algebraic-definition-viewed-as	04X6	algebraic	definition-viewed-as	permanent_tag
algebraic-lemma-characterize-representable-by-algebraic-spaces	04Y5	algebraic	lemma-characterize-representable-by-algebraic-spaces	permanent_tag
algebraic-lemma-criterion-map-representable-spaces-fibred-in-groupoids	02ZY	algebraic	lemma-criterion-map-representable-spaces-fibred-in-groupoids	permanent_tag
algebraic-lemma-map-space-into-stack	04T4	algebraic	lemma-map-space-into-stack	permanent_tag
algebraic-lemma-representable-diagonal	045G	algebraic	lemma-representable-diagonal	permanent_tag
algebraic-lemma-representable-transformations-property-implication	045F	algebraic	lemma-representable-transformations-property-implication	permanent_tag
algebraic-lemma-stack-presentation	04T5	algebraic	lemma-stack-presentation	permanent_tag
algebraic-proposition-algebraic-stack-no-automorphisms	04SZ	algebraic	proposition-algebraic-stack-no-automorphisms	permanent_tag
algebraic-remark-flat-fp-presentation	04WY	algebraic	remark-flat-fp-presentation	permanent_tag
algebraic-section-stack-to-presentation	04T3	algebraic	section-stack-to-presentation	permanent_tag
algebraic-theorem-smooth-groupoid-gives-algebraic-stack	04TK	algebraic	theorem-smooth-groupoid-gives-algebraic-stack	permanent_tag
bootstrap-lemma-covering-quotient	06PG	bootstrap	lemma-covering-quotient	permanent_tag
bootstrap-lemma-divide-subgroupoid	04S4	bootstrap	lemma-divide-subgroupoid	permanent_tag
bootstrap-lemma-quotient-free-action	06PH	bootstrap	lemma-quotient-free-action	permanent_tag
bootstrap-lemma-surjective-flat-locally-finite-presentation	04S1	bootstrap	lemma-surjective-flat-locally-finite-presentation	permanent_tag
bootstrap-theorem-final-bootstrap	04S6	bootstrap	theorem-final-bootstrap	permanent_tag
categories-definition-dotted-arrows	0H18	categories	definition-dotted-arrows	permanent_tag
categories-equation-functorial	04Z4	categories	equation-functorial	permanent_tag
categories-lemma-2-product-categories-over-C	0040	categories	lemma-2-product-categories-over-C	permanent_tag
categories-lemma-base-change-diagonal	04YR	categories	lemma-base-change-diagonal	permanent_tag
categories-lemma-cat-dotted-arrows-base-change	0H1A	categories	lemma-cat-dotted-arrows-base-change	permanent_tag
categories-lemma-cat-dotted-arrows-composition	0H1B	categories	lemma-cat-dotted-arrows-composition	permanent_tag
categories-lemma-diagonal-2	02XF	categories	lemma-diagonal-2	permanent_tag
categories-lemma-fibre-product-after-map	04Z1	categories	lemma-fibre-product-after-map	permanent_tag
categories-lemma-inertia-fibred-category	034H	categories	lemma-inertia-fibred-category	permanent_tag
categories-lemma-relative-inertia-as-fibre-product	04Z6	categories	lemma-relative-inertia-as-fibre-product	permanent_tag
categories-section-2-categories	003G	categories	section-2-categories	permanent_tag
categories-section-2-fibre-products	003O	categories	section-2-fibre-products	permanent_tag
categories-section-formal-cat-cat	003D	categories	section-formal-cat-cat	permanent_tag
categories-section-inertia	04Z2	categories	section-inertia	permanent_tag
criteria-lemma-BG-algebraic	06PL	criteria	lemma-BG-algebraic	permanent_tag
criteria-lemma-flat-quotient-flat-presentation	06FH	criteria	lemma-flat-quotient-flat-presentation	permanent_tag
criteria-lemma-representable-by-spaces-surjective	06D7	criteria	lemma-representable-by-spaces-surjective	permanent_tag
criteria-theorem-flat-groupoid-gives-algebraic-stack	06FI	criteria	theorem-flat-groupoid-gives-algebraic-stack	permanent_tag
decent-spaces-definition-residual-space	06R0	decent-spaces	definition-residual-space	permanent_tag
decent-spaces-lemma-factor-through-residual-space-decent	0H1T	decent-spaces	lemma-factor-through-residual-space-decent	permanent_tag
decent-spaces-lemma-factor-through-residual-space-Noetherian	0H1S	decent-spaces	lemma-factor-through-residual-space-Noetherian	permanent_tag
decent-spaces-lemma-locally-separated-decent	088J	decent-spaces	lemma-locally-separated-decent	permanent_tag
decent-spaces-lemma-properties-trivial-implications	03M5	decent-spaces	lemma-properties-trivial-implications	permanent_tag
decent-spaces-proposition-reasonable-sober	03K6	decent-spaces	proposition-reasonable-sober	permanent_tag
decent-spaces-section-points	03IG	decent-spaces	section-points	permanent_tag
decent-spaces-section-reasonable-decent	03I7	decent-spaces	section-reasonable-decent	permanent_tag
decent-spaces-section-specializations	03K1	decent-spaces	section-specializations	permanent_tag
descent-lemma-descending-property-flat	02L2	descent	lemma-descending-property-flat	permanent_tag
descent-lemma-descending-property-locally-finite-presentation	02KY	descent	lemma-descending-property-locally-finite-presentation	permanent_tag
descent-lemma-descending-property-open-immersion	02L3	descent	lemma-descending-property-open-immersion	permanent_tag
descent-lemma-descending-property-quasi-finite	02VI	descent	lemma-descending-property-quasi-finite	permanent_tag
descent-lemma-locally-finite-nr-irred-local-fppf	0BAL	descent	lemma-locally-finite-nr-irred-local-fppf	permanent_tag
